invoice_date,product,region,retailer,sales_method,state,price_per_unit,total,units_sold
"January 1, 2020",Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,"6,000",120
"January 2, 2020",Men's Athletic Footwear,Northeast,Foot Locker,In-store,New York,50,"5,000",100
"January 3, 2020",Women's Street Footwear,Northeast,Foot Locker,In-store,New York,40,"4,000",100
"January 4, 2020",Women's Athletic Footwear,Northeast,Foot Locker,In-store,New York,45,"3,825",85
"January 5, 2020",Men's Apparel,Northeast,Foot Locker,In-store,New York,60,"5,400",90
"January 6, 2020",Women's Apparel,Northeast,Foot Locker,In-store,New York,50,"5,000",100
"January 7, 2020",Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,"6,250",125
"January 8, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,500",90
"January 21, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,"3,800",95
"January 22, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,"3,713",83
"January 23, 2020",Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,"5,400",90
"January 24, 2020",Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,"5,000",100
"January 25, 2020",Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,"6,100",122
"January 26, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,625",93
"January 27, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,"3,800",95
"January 28, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,"3,600",80
"January 29, 2020",Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,"5,100",85
"January 30, 2020",Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,"4,750",95
"January 31, 2020",Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,"6,000",120
"February 1, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,500",90
"February 2, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,"3,600",90
"February 3, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,"3,713",83
"February 4, 2020",Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,"4,950",83
"February 5, 2020",Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,"4,750",95
"February 6, 2020",Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,"7,320",122
"February 7, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,"5,088",93
"February 8, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,500",90
"February 9, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,250",85
"February 10, 2020",Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,"5,250",88
"March 3, 2020",Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,"6,500",100
"March 4, 2020",Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,"7,500",125
"March 5, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,"5,500",100
"March 6, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,625",93
"March 7, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,500",90
"March 8, 2020",Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,"5,400",90
"March 9, 2020",Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,"6,825",105
"March 10, 2020",Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,"7,650",128
"March 11, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,"5,638",103
"March 12, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,750",95
"March 13, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,500",90
"March 14, 2020",Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,"5,550",93
"March 15, 2020",Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,"7,150",110
"March 16, 2020",Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,"7,500",125
"March 17, 2020",Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,"5,638",103
