month,revenue,units sold
2020-01,"162,538","4,841"
2020-02,"149,980","3,793"
2020-03,"176,612","4,718"
2020-04,"246,082","5,493"
2020-05,"169,189","3,584"
2020-06,"88,302","1,639"
2020-07,"171,467","3,837"
2020-08,"198,787","6,248"
2020-09,"183,047","4,625"
2020-10,"108,364","3,026"
2020-11,"86,230","2,533"
2020-12,"80,277","2,068"
2021-01,"530,664","17,460"
2021-02,"435,621","15,027"
2021-03,"371,677","14,032"
2021-04,"456,997","15,819"
2021-05,"608,784","17,432"
2021-06,"615,833","15,812"
2021-07,"734,861","17,336"
2021-08,"681,562","18,903"
2021-09,"564,937","17,784"
2021-10,"507,084","14,921"
2021-11,"558,182","14,402"
2021-12,"742,198","16,651"
