month,revenue,previous_month_revenue,monthly_growth
"January 1, 2020, 12:00 AM","162,538",,
"February 1, 2020, 12:00 AM","149,980","162,538",-7.73
"March 1, 2020, 12:00 AM","176,612","149,980",17.76
"April 1, 2020, 12:00 AM","246,082","176,612",39.33
"May 1, 2020, 12:00 AM","169,189","246,082",-31.25
"June 1, 2020, 12:00 AM","88,302","169,189",-47.81
"July 1, 2020, 12:00 AM","171,467","88,302",94.18
"August 1, 2020, 12:00 AM","198,787","171,467",15.93
"September 1, 2020, 12:00 AM","183,047","198,787",-7.92
"October 1, 2020, 12:00 AM","108,364","183,047",-40.8
"November 1, 2020, 12:00 AM","86,230","108,364",-20.43
"December 1, 2020, 12:00 AM","80,277","86,230",-6.9
"January 1, 2021, 12:00 AM","530,664","80,277",561.04
"February 1, 2021, 12:00 AM","435,621","530,664",-17.91
"March 1, 2021, 12:00 AM","371,677","435,621",-14.68
"April 1, 2021, 12:00 AM","456,997","371,677",22.96
"May 1, 2021, 12:00 AM","608,784","456,997",33.21
"June 1, 2021, 12:00 AM","615,833","608,784",1.16
"July 1, 2021, 12:00 AM","734,861","615,833",19.33
"August 1, 2021, 12:00 AM","681,562","734,861",-7.25
"September 1, 2021, 12:00 AM","564,937","681,562",-17.11
"October 1, 2021, 12:00 AM","507,084","564,937",-10.24
"November 1, 2021, 12:00 AM","558,182","507,084",10.08
"December 1, 2021, 12:00 AM","742,198","558,182",32.97
