month,region,revenue
"January 1, 2020, 12:00 AM",Northeast,"105,850"
"January 1, 2020, 12:00 AM",West,"56,688"
"February 1, 2020, 12:00 AM",Northeast,"50,280"
"February 1, 2020, 12:00 AM",West,"99,700"
"March 1, 2020, 12:00 AM",Northeast,"103,446"
"March 1, 2020, 12:00 AM",West,"73,166"
"April 1, 2020, 12:00 AM",Northeast,"85,772"
"April 1, 2020, 12:00 AM",Southeast,"59,930"
"April 1, 2020, 12:00 AM",West,"100,380"
"May 1, 2020, 12:00 AM",Northeast,"43,991"
"May 1, 2020, 12:00 AM",Southeast,"32,601"
"May 1, 2020, 12:00 AM",West,"92,597"
"June 1, 2020, 12:00 AM",West,"88,302"
"July 1, 2020, 12:00 AM",Northeast,"18,167"
"July 1, 2020, 12:00 AM",South,"22,442"
"July 1, 2020, 12:00 AM",West,"130,858"
"August 1, 2020, 12:00 AM",South,"106,974"
"August 1, 2020, 12:00 AM",Southeast,"51,625"
"August 1, 2020, 12:00 AM",West,"40,188"
"September 1, 2020, 12:00 AM",South,"60,732"
"September 1, 2020, 12:00 AM",Southeast,"122,315"
"October 1, 2020, 12:00 AM",Midwest,"9,044"
"October 1, 2020, 12:00 AM",South,"49,768"
"October 1, 2020, 12:00 AM",Southeast,"49,552"
"November 1, 2020, 12:00 AM",Midwest,"30,264"
"November 1, 2020, 12:00 AM",South,"14,658"
"November 1, 2020, 12:00 AM",West,"41,308"
"December 1, 2020, 12:00 AM",Midwest,"34,487"
"December 1, 2020, 12:00 AM",West,"45,790"
"January 1, 2021, 12:00 AM",Midwest,"111,255"
"January 1, 2021, 12:00 AM",Northeast,"83,845"
"January 1, 2021, 12:00 AM",South,"27,293"
"January 1, 2021, 12:00 AM",Southeast,"85,743"
"January 1, 2021, 12:00 AM",West,"222,528"
"February 1, 2021, 12:00 AM",Midwest,"123,239"
"February 1, 2021, 12:00 AM",Northeast,"76,127"
"February 1, 2021, 12:00 AM",South,"26,723"
"February 1, 2021, 12:00 AM",Southeast,"72,047"
"February 1, 2021, 12:00 AM",West,"137,485"
"March 1, 2021, 12:00 AM",Midwest,"77,587"
"March 1, 2021, 12:00 AM",Northeast,"68,774"
"March 1, 2021, 12:00 AM",South,"55,227"
"March 1, 2021, 12:00 AM",Southeast,"66,544"
"March 1, 2021, 12:00 AM",West,"103,545"
"April 1, 2021, 12:00 AM",Midwest,"50,929"
"April 1, 2021, 12:00 AM",Northeast,"66,740"
"April 1, 2021, 12:00 AM",South,"116,999"
"April 1, 2021, 12:00 AM",Southeast,"70,806"
"April 1, 2021, 12:00 AM",West,"151,523"
"May 1, 2021, 12:00 AM",Midwest,"90,946"
"May 1, 2021, 12:00 AM",Northeast,"110,864"
"May 1, 2021, 12:00 AM",South,"106,980"
"May 1, 2021, 12:00 AM",Southeast,"94,029"
"May 1, 2021, 12:00 AM",West,"205,965"
"June 1, 2021, 12:00 AM",Midwest,"147,937"
"June 1, 2021, 12:00 AM",Northeast,"129,795"
"June 1, 2021, 12:00 AM",South,"76,422"
"June 1, 2021, 12:00 AM",Southeast,"145,291"
"June 1, 2021, 12:00 AM",West,"116,388"
"July 1, 2021, 12:00 AM",Midwest,"189,292"
"July 1, 2021, 12:00 AM",Northeast,"143,225"
"July 1, 2021, 12:00 AM",South,"97,948"
"July 1, 2021, 12:00 AM",Southeast,"174,636"
"July 1, 2021, 12:00 AM",West,"129,760"
"August 1, 2021, 12:00 AM",Midwest,"137,332"
"August 1, 2021, 12:00 AM",Northeast,"124,387"
"August 1, 2021, 12:00 AM",South,"154,070"
"August 1, 2021, 12:00 AM",Southeast,"148,036"
"August 1, 2021, 12:00 AM",West,"117,737"
"September 1, 2021, 12:00 AM",Midwest,"67,098"
"September 1, 2021, 12:00 AM",Northeast,"95,731"
"September 1, 2021, 12:00 AM",South,"228,491"
"September 1, 2021, 12:00 AM",Southeast,"89,227"
"September 1, 2021, 12:00 AM",West,"84,390"
"October 1, 2021, 12:00 AM",Midwest,"66,334"
"October 1, 2021, 12:00 AM",Northeast,"123,583"
"October 1, 2021, 12:00 AM",South,"153,260"
"October 1, 2021, 12:00 AM",Southeast,"88,608"
"October 1, 2021, 12:00 AM",West,"75,299"
"November 1, 2021, 12:00 AM",Midwest,"89,206"
"November 1, 2021, 12:00 AM",Northeast,"199,119"
"November 1, 2021, 12:00 AM",South,"54,616"
"November 1, 2021, 12:00 AM",Southeast,"119,808"
"November 1, 2021, 12:00 AM",West,"95,433"
"December 1, 2021, 12:00 AM",Midwest,"133,195"
"December 1, 2021, 12:00 AM",Northeast,"233,733"
"December 1, 2021, 12:00 AM",South,"94,119"
"December 1, 2021, 12:00 AM",Southeast,"160,988"
"December 1, 2021, 12:00 AM",West,"120,163"
