state,revenue,revenue_share
New York,"642,317",7.44
California,"601,768",6.97
Florida,"592,866",6.87
Texas,"463,613",5.37
South Carolina,"292,868",3.39
Washington,"263,318",3.05
North Carolina,"239,574",2.78
Louisiana,"237,520",2.75
Virginia,"215,753",2.5
Oregon,"213,509",2.47
Colorado,"209,975",2.43
Nevada,"208,586",2.42
New Mexico,"198,664",2.3
Idaho,"192,778",2.23
Georgia,"189,988",2.2
Michigan,"186,262",2.16
Wyoming,"185,783",2.15
Ohio,"184,859",2.14
Tennessee,"180,689",2.09
Alabama,"176,347",2.04
New Hampshire,"164,133",1.9
Arizona,"157,840",1.83
Montana,"157,124",1.82
Mississippi,"155,927",1.81
Vermont,"143,540",1.66
Arkansas,"126,407",1.46
Delaware,"123,000",1.43
Connecticut,"115,760",1.34
Massachusetts,"110,782",1.28
West Virginia,"106,906",1.24
Oklahoma,"106,219",1.23
Pennsylvania,"103,590",1.2
Kentucky,"100,737",1.17
Kansas,"99,733",1.16
New Jersey,"99,353",1.15
Illinois,"97,988",1.14
Utah,"96,972",1.12
Missouri,"96,846",1.12
Maine,"91,974",1.07
Indiana,"88,371",1.02
South Dakota,"84,970",0.98
Rhode Island,"84,483",0.98
Maryland,"77,591",0.9
North Dakota,"77,361",0.9
Wisconsin,"77,286",0.9
Iowa,"74,249",0.86
Minnesota,"73,795",0.86
Nebraska,"59,301",0.69
