region,state,revenue
Midwest,Michigan,"186,262"
Midwest,Ohio,"184,859"
Midwest,Montana,"157,124"
Midwest,Kansas,"99,733"
Midwest,Illinois,"97,988"
Midwest,Missouri,"96,846"
Midwest,Indiana,"88,371"
Midwest,South Dakota,"84,970"
Midwest,North Dakota,"77,361"
Midwest,Wisconsin,"77,286"
Midwest,Iowa,"74,249"
Midwest,Minnesota,"73,795"
Midwest,Nebraska,"59,301"
Northeast,New York,"642,317"
Northeast,New Hampshire,"164,133"
Northeast,Vermont,"143,540"
Northeast,Delaware,"123,000"
Northeast,Connecticut,"115,760"
Northeast,Massachusetts,"110,782"
Northeast,West Virginia,"106,906"
Northeast,Pennsylvania,"103,590"
Northeast,New Jersey,"99,353"
Northeast,Maine,"91,974"
Northeast,Rhode Island,"84,483"
Northeast,Maryland,"77,591"
South,Texas,"463,613"
South,Louisiana,"237,520"
South,Tennessee,"180,689"
South,Alabama,"176,347"
South,Mississippi,"155,927"
South,Arkansas,"126,407"
South,Oklahoma,"106,219"
Southeast,Florida,"592,866"
Southeast,South Carolina,"292,868"
Southeast,North Carolina,"239,574"
Southeast,Virginia,"215,753"
Southeast,Georgia,"189,988"
Southeast,Kentucky,"100,737"
West,California,"601,768"
West,Washington,"263,318"
West,Oregon,"213,509"
West,Colorado,"209,975"
West,Nevada,"208,586"
West,New Mexico,"198,664"
West,Idaho,"192,778"
West,Wyoming,"185,783"
West,Arizona,"157,840"
West,Utah,"96,972"
