month,retailer,revenue
"January 1, 2020, 12:00 AM",Foot Locker,"98,529"
"January 1, 2020, 12:00 AM",West Gear,"64,009"
"February 1, 2020, 12:00 AM",Foot Locker,"50,280"
"February 1, 2020, 12:00 AM",West Gear,"99,700"
"March 1, 2020, 12:00 AM",Foot Locker,"103,446"
"March 1, 2020, 12:00 AM",West Gear,"73,166"
"April 1, 2020, 12:00 AM",Foot Locker,"8,070"
"April 1, 2020, 12:00 AM",Walmart,"85,772"
"April 1, 2020, 12:00 AM",West Gear,"152,240"
"May 1, 2020, 12:00 AM",Foot Locker,"11,424"
"May 1, 2020, 12:00 AM",Sports Direct,"21,177"
"May 1, 2020, 12:00 AM",Walmart,"43,991"
"May 1, 2020, 12:00 AM",West Gear,"92,597"
"June 1, 2020, 12:00 AM",West Gear,"88,302"
"July 1, 2020, 12:00 AM",Sports Direct,"33,249"
"July 1, 2020, 12:00 AM",Walmart,"7,360"
"July 1, 2020, 12:00 AM",West Gear,"130,858"
"August 1, 2020, 12:00 AM",Foot Locker,"63,542"
"August 1, 2020, 12:00 AM",Sports Direct,"25,741"
"August 1, 2020, 12:00 AM",Walmart,"81,233"
"August 1, 2020, 12:00 AM",West Gear,"28,271"
"September 1, 2020, 12:00 AM",Foot Locker,"23,832"
"September 1, 2020, 12:00 AM",Sports Direct,"26,361"
"September 1, 2020, 12:00 AM",Walmart,"60,732"
"September 1, 2020, 12:00 AM",West Gear,"72,122"
"October 1, 2020, 12:00 AM",Foot Locker,"12,506"
"October 1, 2020, 12:00 AM",Sports Direct,"46,090"
"October 1, 2020, 12:00 AM",Walmart,"49,768"
"November 1, 2020, 12:00 AM",Foot Locker,"30,264"
"November 1, 2020, 12:00 AM",West Gear,"55,966"
"December 1, 2020, 12:00 AM",Foot Locker,"26,900"
"December 1, 2020, 12:00 AM",Kohl's,"7,587"
"December 1, 2020, 12:00 AM",West Gear,"45,790"
"January 1, 2021, 12:00 AM",Amazon,"37,447"
"January 1, 2021, 12:00 AM",Foot Locker,"98,357"
"January 1, 2021, 12:00 AM",Kohl's,"93,532"
"January 1, 2021, 12:00 AM",Sports Direct,"61,374"
"January 1, 2021, 12:00 AM",West Gear,"239,954"
"February 1, 2021, 12:00 AM",Amazon,"36,117"
"February 1, 2021, 12:00 AM",Foot Locker,"87,071"
"February 1, 2021, 12:00 AM",Kohl's,"109,561"
"February 1, 2021, 12:00 AM",Sports Direct,"59,249"
"February 1, 2021, 12:00 AM",Walmart,"2,617"
"February 1, 2021, 12:00 AM",West Gear,"141,006"
"March 1, 2021, 12:00 AM",Amazon,"32,174"
"March 1, 2021, 12:00 AM",Foot Locker,"73,223"
"March 1, 2021, 12:00 AM",Kohl's,"98,974"
"March 1, 2021, 12:00 AM",Sports Direct,"97,172"
"March 1, 2021, 12:00 AM",Walmart,"4,667"
"March 1, 2021, 12:00 AM",West Gear,"65,467"
"April 1, 2021, 12:00 AM",Amazon,"30,933"
