retailer,region,revenue,units_sold
Amazon,Northeast,"362,664","9,578"
Amazon,Midwest,"168,370","4,514"
Amazon,Southeast,"108,273","2,987"
Amazon,South,"4,092",168
Foot Locker,Northeast,"653,330","18,005"
Foot Locker,Southeast,"596,707","15,147"
Foot Locker,Midwest,"479,932","14,245"
Foot Locker,West,"244,260","7,390"
Foot Locker,South,"93,081","3,501"
Kohl's,West,"623,057","17,565"
Kohl's,Midwest,"222,315","6,280"
Kohl's,Northeast,"140,329","3,743"
Kohl's,South,"35,525","1,288"
Sports Direct,South,"652,618","23,256"
Sports Direct,Southeast,"541,817","14,411"
Sports Direct,Midwest,"262,095","7,487"
Sports Direct,Northeast,"247,010","7,478"
Sports Direct,West,"86,305","2,661"
Walmart,South,"330,513","11,754"
Walmart,Southeast,"210,066","4,218"
Walmart,Northeast,"137,123","3,477"
West Gear,West,"1,375,571","34,216"
West Gear,South,"330,893","9,472"
West Gear,Northeast,"322,973","8,154"
West Gear,Midwest,"225,433","6,879"
West Gear,Southeast,"174,923","4,110"
