month,sales_method,revenue
"January 1, 2020, 12:00 AM",In-store,"35,475"
"January 1, 2020, 12:00 AM",Online,"3,969"
"January 1, 2020, 12:00 AM",Outlet,"123,094"
"February 1, 2020, 12:00 AM",In-store,"65,889"
"February 1, 2020, 12:00 AM",Online,"3,714"
"February 1, 2020, 12:00 AM",Outlet,"80,377"
"March 1, 2020, 12:00 AM",In-store,"70,140"
"March 1, 2020, 12:00 AM",Online,"4,330"
"March 1, 2020, 12:00 AM",Outlet,"102,142"
"April 1, 2020, 12:00 AM",In-store,"156,295"
"April 1, 2020, 12:00 AM",Online,"6,165"
"April 1, 2020, 12:00 AM",Outlet,"83,622"
"May 1, 2020, 12:00 AM",In-store,"122,093"
"May 1, 2020, 12:00 AM",Online,"4,221"
"May 1, 2020, 12:00 AM",Outlet,"42,875"
"June 1, 2020, 12:00 AM",In-store,"86,065"
"June 1, 2020, 12:00 AM",Online,"2,237"
"July 1, 2020, 12:00 AM",In-store,"127,592"
"July 1, 2020, 12:00 AM",Online,"4,287"
"July 1, 2020, 12:00 AM",Outlet,"39,588"
"August 1, 2020, 12:00 AM",In-store,"89,567"
"August 1, 2020, 12:00 AM",Online,"4,859"
"August 1, 2020, 12:00 AM",Outlet,"104,361"
"September 1, 2020, 12:00 AM",In-store,"119,229"
"September 1, 2020, 12:00 AM",Online,"4,562"
"September 1, 2020, 12:00 AM",Outlet,"59,256"
"October 1, 2020, 12:00 AM",In-store,"57,156"
"October 1, 2020, 12:00 AM",Online,"2,685"
"October 1, 2020, 12:00 AM",Outlet,"48,523"
"November 1, 2020, 12:00 AM",In-store,"9,564"
"November 1, 2020, 12:00 AM",Online,"2,159"
"November 1, 2020, 12:00 AM",Outlet,"74,507"
"December 1, 2020, 12:00 AM",Online,"2,020"
"December 1, 2020, 12:00 AM",Outlet,"78,257"
"January 1, 2021, 12:00 AM",In-store,"151,064"
"January 1, 2021, 12:00 AM",Online,"140,675"
"January 1, 2021, 12:00 AM",Outlet,"238,925"
"February 1, 2021, 12:00 AM",In-store,"145,166"
"February 1, 2021, 12:00 AM",Online,"127,202"
"February 1, 2021, 12:00 AM",Outlet,"163,253"
"March 1, 2021, 12:00 AM",In-store,"140,228"
"March 1, 2021, 12:00 AM",Online,"115,911"
"March 1, 2021, 12:00 AM",Outlet,"115,538"
"April 1, 2021, 12:00 AM",In-store,"142,630"
"April 1, 2021, 12:00 AM",Online,"122,790"
"April 1, 2021, 12:00 AM",Outlet,"191,577"
"May 1, 2021, 12:00 AM",In-store,"217,506"
"May 1, 2021, 12:00 AM",Online,"180,338"
"May 1, 2021, 12:00 AM",Outlet,"210,940"
"June 1, 2021, 12:00 AM",In-store,"290,866"
"June 1, 2021, 12:00 AM",Online,"256,515"
"June 1, 2021, 12:00 AM",Outlet,"68,452"
"July 1, 2021, 12:00 AM",In-store,"335,749"
"July 1, 2021, 12:00 AM",Online,"310,372"
"July 1, 2021, 12:00 AM",Outlet,"88,740"
"August 1, 2021, 12:00 AM",In-store,"276,724"
"August 1, 2021, 12:00 AM",Online,"283,651"
"August 1, 2021, 12:00 AM",Outlet,"121,187"
"September 1, 2021, 12:00 AM",In-store,"172,551"
"September 1, 2021, 12:00 AM",Online,"188,240"
"September 1, 2021, 12:00 AM",Outlet,"204,146"
"October 1, 2021, 12:00 AM",In-store,"185,693"
"October 1, 2021, 12:00 AM",Online,"161,155"
"October 1, 2021, 12:00 AM",Outlet,"160,236"
"November 1, 2021, 12:00 AM",In-store,"243,998"
"November 1, 2021, 12:00 AM",Online,"221,220"
"November 1, 2021, 12:00 AM",Outlet,"92,964"
"December 1, 2021, 12:00 AM",In-store,"325,410"
"December 1, 2021, 12:00 AM",Online,"314,337"
"December 1, 2021, 12:00 AM",Outlet,"102,451"
