retailer,sales_method,revenue,units_sold,transactions,avg_transaction_value
Amazon,Online,"285,755","9,270",477,599.07
Amazon,In-store,"223,681","4,038",118,"1,895.6"
Amazon,Outlet,"133,963","3,939",228,587.56
Foot Locker,In-store,"765,296","16,174",449,"1,704.45"
Foot Locker,Online,"726,123","25,433","1,349",538.27
Foot Locker,Outlet,"575,891","16,681",747,770.94
Kohl's,Outlet,"415,591","11,166",310,"1,340.62"
Kohl's,Online,"309,952","11,341",576,538.11
Kohl's,In-store,"295,683","6,369",144,"2,053.35"
Sports Direct,Outlet,"647,902","22,456",731,886.32
Sports Direct,Online,"591,422","21,629",982,602.26
Sports Direct,In-store,"550,521","11,208",293,"1,878.91"
Walmart,Outlet,"364,585","10,748",279,"1,306.76"
Walmart,In-store,"164,116","2,075",37,"4,435.57"
Walmart,Online,"149,001","6,626",266,560.15
West Gear,In-store,"1,567,353","29,537",699,"2,242.28"
West Gear,Outlet,"457,079","14,716",580,788.07
West Gear,Online,"405,361","18,578","1,095",370.19
