product,region,revenue
Women's Street Footwear,Midwest,"162,476"
Men's Athletic Footwear,Midwest,"213,076"
Women's Street Footwear,Northeast,"233,448"
Women's Street Footwear,South,"227,794"
Men's Apparel,South,"197,045"
Women's Street Footwear,Southeast,"231,208"
Men's Street Footwear,West,"460,998"
Men's Street Footwear,South,"284,459"
Women's Athletic Footwear,Northeast,"197,996"
Men's Apparel,Northeast,"257,478"
Women's Athletic Footwear,Southeast,"203,041"
Men's Apparel,Southeast,"244,623"
Women's Athletic Footwear,West,"302,658"
Men's Street Footwear,Northeast,"510,281"
Men's Apparel,Midwest,"181,280"
Men's Street Footwear,Southeast,"360,206"
Men's Athletic Footwear,Northeast,"288,773"
Men's Apparel,West,"312,256"
Women's Apparel,South,"296,081"
Men's Athletic Footwear,Southeast,"277,784"
Women's Apparel,Midwest,"282,086"
Men's Athletic Footwear,West,"431,365"
Women's Athletic Footwear,South,"184,225"
Women's Street Footwear,West,"369,830"
Women's Apparel,Northeast,"375,453"
Women's Apparel,Southeast,"314,924"
Men's Athletic Footwear,South,"257,118"
Men's Street Footwear,Midwest,"383,248"
Women's Apparel,West,"452,086"
Women's Athletic Footwear,Midwest,"135,979"
