product,region,sales_method,revenue,units_sold,transactions,avg_price,avg_transaction_value
Men's Street Footwear,Northeast,In-store,"337,619","6,578",115,51.04,"2,935.82"
Women's Apparel,Northeast,In-store,"234,188","4,181",114,54.74,"2,054.28"
Men's Street Footwear,West,In-store,"220,664","4,224",66,50.91,"3,343.39"
Women's Apparel,West,In-store,"199,805","3,171",66,62.12,"3,027.35"
Men's Street Footwear,Southeast,Online,"193,476","5,627",132,48.58,"1,465.73"
Men's Athletic Footwear,West,In-store,"192,870","3,461",66,53.56,"2,922.27"
Men's Athletic Footwear,Northeast,In-store,"175,694","3,677",113,46.68,"1,554.81"
Men's Street Footwear,Midwest,In-store,"174,391","4,141",74,41.76,"2,356.64"
Women's Apparel,South,Outlet,"168,127","5,144",144,39.49,"1,167.55"
Women's Apparel,Southeast,Online,"165,162","4,202",132,56.46,"1,251.23"
Women's Street Footwear,West,In-store,"162,298","3,099",67,50.97,"2,422.36"
Men's Street Footwear,Northeast,Outlet,"160,073","4,372",125,45.64,"1,280.58"
Men's Apparel,Northeast,In-store,"155,166","2,773",114,55,"1,361.11"
Men's Athletic Footwear,South,Outlet,"151,920","5,291",144,33.67,"1,055"
Men's Street Footwear,Southeast,In-store,"148,416","2,559",32,56.72,"4,638"
Women's Street Footwear,South,Outlet,"143,000","4,896",144,32.51,993.06
Men's Apparel,West,In-store,"142,759","2,360",66,58.94,"2,163.02"
Women's Street Footwear,Northeast,In-store,"139,814","3,335",113,41.15,"1,237.29"
Men's Street Footwear,South,Online,"138,658","4,809",141,39.01,983.39
Men's Street Footwear,South,Outlet,"138,338","5,720",144,31.36,960.68
Men's Athletic Footwear,Southeast,Online,"137,541","4,185",132,47.74,"1,041.98"
Women's Apparel,West,Outlet,"136,795","3,652",126,48.55,"1,085.67"
Women's Apparel,Southeast,In-store,"135,865","1,991",32,67.97,"4,245.78"
Women's Athletic Footwear,West,In-store,"135,481","2,618",67,50,"2,022.1"
Women's Apparel,Northeast,Outlet,"131,961","3,175",126,49.17,"1,047.31"
Men's Street Footwear,West,Outlet,"130,419","4,488",126,38.29,"1,035.07"
Men's Athletic Footwear,Southeast,In-store,"129,766","2,178",33,58.33,"3,932.3"
Men's Apparel,Southeast,Online,"128,671","3,325",132,55.09,974.78
Men's Athletic Footwear,West,Outlet,"127,461","3,934",126,42.06,"1,011.6"
Women's Apparel,Midwest,In-store,"127,297","2,664",75,46.8,"1,697.29"
Women's Apparel,South,Online,"122,591","3,653",141,47.54,869.44
