product,region,sales_method,revenue_per_transaction
Men's Street Footwear,Southeast,In-store,"4,638"
Women's Apparel,Southeast,In-store,"4,245"
Men's Athletic Footwear,Southeast,In-store,"3,932"
Men's Apparel,Southeast,In-store,"3,413"
Men's Street Footwear,West,In-store,"3,343"
Women's Street Footwear,Southeast,In-store,"3,280"
Women's Apparel,West,In-store,"3,027"
Men's Street Footwear,Northeast,In-store,"2,935"
Men's Athletic Footwear,West,In-store,"2,922"
Women's Athletic Footwear,Southeast,In-store,"2,878"
Men's Street Footwear,South,In-store,"2,487"
Women's Street Footwear,West,In-store,"2,422"
Men's Street Footwear,Midwest,In-store,"2,356"
Men's Street Footwear,Midwest,Outlet,"2,210"
Men's Apparel,West,In-store,"2,163"
Women's Street Footwear,South,In-store,"2,154"
Women's Apparel,Northeast,In-store,"2,054"
Women's Athletic Footwear,West,In-store,"2,022"
Men's Athletic Footwear,South,In-store,"1,950"
Women's Apparel,South,In-store,"1,787"
Women's Apparel,Midwest,In-store,"1,697"
Women's Apparel,Midwest,Outlet,"1,660"
Men's Athletic Footwear,Northeast,In-store,"1,554"
Men's Street Footwear,Southeast,Online,"1,465"
Men's Athletic Footwear,Midwest,Outlet,"1,441"
Men's Apparel,Northeast,In-store,"1,361"
Women's Athletic Footwear,South,In-store,"1,334"
Men's Street Footwear,Northeast,Outlet,"1,280"
Women's Apparel,Southeast,Online,"1,251"
Women's Street Footwear,Northeast,In-store,"1,237"
Men's Athletic Footwear,Midwest,In-store,"1,207"
Women's Apparel,South,Outlet,"1,167"
Women's Street Footwear,Midwest,Outlet,"1,110"
Men's Apparel,Midwest,In-store,"1,102"
Women's Apparel,West,Outlet,"1,085"
Men's Athletic Footwear,South,Outlet,"1,055"
Women's Apparel,Northeast,Outlet,"1,047"
Men's Athletic Footwear,Southeast,Online,"1,041"
Men's Street Footwear,West,Outlet,"1,035"
Women's Athletic Footwear,Northeast,In-store,"1,027"
Men's Athletic Footwear,West,Outlet,"1,011"
Women's Street Footwear,South,Outlet,993
Men's Street Footwear,South,Online,983
Men's Apparel,Southeast,Online,974
Men's Street Footwear,South,Outlet,960
Men's Apparel,Midwest,Outlet,939
Women's Street Footwear,Midwest,In-store,901
Women's Street Footwear,West,Outlet,878
Women's Athletic Footwear,Midwest,Outlet,877
Women's Apparel,South,Online,869
Men's Apparel,South,In-store,865
Women's Street Footwear,Southeast,Online,849
Men's Athletic Footwear,Northeast,Outlet,833
Men's Apparel,West,Outlet,772
Women's Athletic Footwear,Southeast,Online,772
Men's Apparel,Northeast,Outlet,760
Women's Athletic Footwear,Midwest,In-store,756
Women's Athletic Footwear,South,Outlet,750
Women's Athletic Footwear,West,Outlet,737
Men's Apparel,South,Outlet,728
Men's Athletic Footwear,South,Online,704
Women's Street Footwear,Northeast,Outlet,691
Women's Apparel,West,Online,687
Men's Athletic Footwear,West,Online,660
Men's Street Footwear,West,Online,654
Men's Apparel,South,Online,633
Women's Athletic Footwear,Northeast,Outlet,603
Women's Street Footwear,West,Online,581
Men's Street Footwear,Midwest,Online,575
Women's Street Footwear,South,Online,555
Women's Athletic Footwear,South,Online,505
Men's Street Footwear,Southeast,Outlet,457
Women's Athletic Footwear,West,Online,446
Women's Apparel,Midwest,Online,429
Men's Apparel,West,Online,429
Women's Apparel,Southeast,Outlet,347
Men's Athletic Footwear,Midwest,Online,310
Men's Apparel,Midwest,Online,300
Women's Street Footwear,Southeast,Outlet,276
Men's Athletic Footwear,Southeast,Outlet,268
Women's Street Footwear,Midwest,Online,241
Women's Athletic Footwear,Southeast,Outlet,222
Women's Athletic Footwear,Midwest,Online,216
Men's Apparel,Southeast,Outlet,167
Men's Street Footwear,Northeast,Online,80
Women's Apparel,Northeast,Online,59
Men's Athletic Footwear,Northeast,Online,46
Men's Apparel,Northeast,Online,41
Women's Street Footwear,Northeast,Online,37
Women's Athletic Footwear,Northeast,Online,31
