product,region,sales_method,units_per_transaction
Men's Street Footwear,Southeast,In-store,79.97
Men's Athletic Footwear,Southeast,In-store,66
Men's Street Footwear,West,In-store,64
Women's Apparel,Southeast,In-store,62.22
Women's Street Footwear,Southeast,In-store,59.61
Men's Street Footwear,Northeast,In-store,57.2
Men's Street Footwear,Midwest,In-store,55.96
Men's Street Footwear,South,In-store,53.67
Men's Athletic Footwear,West,In-store,52.44
Men's Apparel,Southeast,In-store,51.59
Men's Street Footwear,Midwest,Outlet,51.41
Women's Athletic Footwear,Southeast,In-store,51.19
Women's Apparel,West,In-store,48.05
Women's Street Footwear,West,In-store,46.25
Men's Street Footwear,Southeast,Online,42.63
Men's Street Footwear,South,Outlet,39.72
Women's Street Footwear,South,In-store,39.33
Women's Athletic Footwear,West,In-store,39.07
Men's Athletic Footwear,South,In-store,37
Men's Athletic Footwear,South,Outlet,36.74
Women's Apparel,Northeast,In-store,36.68
Women's Apparel,South,In-store,36
Men's Apparel,West,In-store,35.76
Women's Apparel,South,Outlet,35.72
Men's Street Footwear,West,Outlet,35.62
Women's Apparel,Midwest,In-store,35.52
Men's Street Footwear,Northeast,Outlet,34.98
Men's Street Footwear,South,Online,34.11
Women's Street Footwear,South,Outlet,34
Men's Athletic Footwear,Midwest,Outlet,33.64
Men's Athletic Footwear,Northeast,In-store,32.54
Women's Apparel,Southeast,Online,31.83
Men's Athletic Footwear,Midwest,In-store,31.76
Men's Athletic Footwear,Southeast,Online,31.7
Men's Athletic Footwear,West,Outlet,31.22
Women's Apparel,Midwest,Outlet,31.14
Women's Street Footwear,Southeast,Online,29.57
Women's Street Footwear,Northeast,In-store,29.51
Women's Athletic Footwear,South,In-store,29
Women's Apparel,West,Outlet,28.98
Women's Street Footwear,Midwest,In-store,28.32
Women's Street Footwear,West,Outlet,28.23
Women's Street Footwear,Midwest,Outlet,27.7
Men's Street Footwear,West,Online,27.47
Women's Apparel,South,Online,25.91
Men's Athletic Footwear,South,Online,25.87
Men's Street Footwear,Southeast,Outlet,25.73
Women's Athletic Footwear,South,Outlet,25.55
Women's Athletic Footwear,Southeast,Online,25.21
Women's Apparel,Northeast,Outlet,25.2
Men's Apparel,Southeast,Online,25.19
Men's Athletic Footwear,West,Online,24.35
Men's Apparel,Northeast,In-store,24.32
Women's Athletic Footwear,West,Outlet,23.97
Men's Street Footwear,Midwest,Online,23.84
Men's Apparel,South,Outlet,23.76
Men's Athletic Footwear,Northeast,Outlet,23.43
Men's Apparel,Midwest,In-store,23.41
Women's Athletic Footwear,Northeast,In-store,23.05
Women's Street Footwear,South,Online,23.02
Women's Athletic Footwear,Midwest,In-store,22.15
Women's Athletic Footwear,Midwest,Outlet,22.14
Men's Apparel,West,Outlet,21.96
Women's Apparel,West,Online,21.87
Women's Street Footwear,West,Online,21.72
Women's Street Footwear,Northeast,Outlet,21.35
Men's Athletic Footwear,Southeast,Outlet,19.92
Women's Athletic Footwear,South,Online,18.83
Men's Apparel,Midwest,Outlet,18.77
Men's Apparel,South,Online,18.64
Men's Apparel,South,In-store,18.5
Women's Street Footwear,Southeast,Outlet,18.33
Men's Apparel,Northeast,Outlet,18.28
Women's Apparel,Southeast,Outlet,18
Women's Athletic Footwear,Northeast,Outlet,17.87
Women's Athletic Footwear,West,Online,17.49
Men's Street Footwear,Northeast,Online,16.2
Women's Apparel,Midwest,Online,15.4
Men's Apparel,West,Online,15.27
Women's Athletic Footwear,Southeast,Outlet,14.65
Men's Athletic Footwear,Midwest,Online,14.02
Women's Street Footwear,Midwest,Online,12.45
Men's Apparel,Southeast,Outlet,12.3
Women's Apparel,Northeast,Online,10.86
Men's Apparel,Midwest,Online,10.36
Women's Athletic Footwear,Midwest,Online,9.96
Men's Athletic Footwear,Northeast,Online,9.94
Women's Street Footwear,Northeast,Online,9.04
Men's Apparel,Northeast,Online,7.52
Women's Athletic Footwear,Northeast,Online,7.17
