product,region,sales_method,revenue,units_sold,transactions,revenue_per_transaction,units_per_transaction
Men's Street Footwear,Northeast,In-store,"337,619","6,578",115,"2,935",57.2
Women's Apparel,Northeast,In-store,"234,188","4,181",114,"2,054",36.68
Men's Street Footwear,West,In-store,"220,664","4,224",66,"3,343",64
Women's Apparel,West,In-store,"199,805","3,171",66,"3,027",48.05
Men's Street Footwear,Southeast,Online,"193,476","5,627",132,"1,465",42.63
Men's Athletic Footwear,West,In-store,"192,870","3,461",66,"2,922",52.44
Men's Athletic Footwear,Northeast,In-store,"175,694","3,677",113,"1,554",32.54
Men's Street Footwear,Midwest,In-store,"174,391","4,141",74,"2,356",55.96
Women's Apparel,South,Outlet,"168,127","5,144",144,"1,167",35.72
Women's Apparel,Southeast,Online,"165,162","4,202",132,"1,251",31.83
Women's Street Footwear,West,In-store,"162,298","3,099",67,"2,422",46.25
Men's Street Footwear,Northeast,Outlet,"160,073","4,372",125,"1,280",34.98
Men's Apparel,Northeast,In-store,"155,166","2,773",114,"1,361",24.32
Men's Athletic Footwear,South,Outlet,"151,920","5,291",144,"1,055",36.74
Men's Street Footwear,Southeast,In-store,"148,416","2,559",32,"4,638",79.97
Women's Street Footwear,South,Outlet,"143,000","4,896",144,993,34
Men's Apparel,West,In-store,"142,759","2,360",66,"2,163",35.76
Women's Street Footwear,Northeast,In-store,"139,814","3,335",113,"1,237",29.51
Men's Street Footwear,South,Online,"138,658","4,809",141,983,34.11
Men's Street Footwear,South,Outlet,"138,338","5,720",144,960,39.72
Men's Athletic Footwear,Southeast,Online,"137,541","4,185",132,"1,041",31.7
Women's Apparel,West,Outlet,"136,795","3,652",126,"1,085",28.98
Women's Apparel,Southeast,In-store,"135,865","1,991",32,"4,245",62.22
Women's Athletic Footwear,West,In-store,"135,481","2,618",67,"2,022",39.07
Women's Apparel,Northeast,Outlet,"131,961","3,175",126,"1,047",25.2
Men's Street Footwear,West,Outlet,"130,419","4,488",126,"1,035",35.62
Men's Athletic Footwear,Southeast,In-store,"129,766","2,178",33,"3,932",66
Men's Apparel,Southeast,Online,"128,671","3,325",132,974,25.19
Men's Athletic Footwear,West,Outlet,"127,461","3,934",126,"1,011",31.22
Women's Apparel,Midwest,In-store,"127,297","2,664",75,"1,697",35.52
Women's Apparel,South,Online,"122,591","3,653",141,869,25.91
Women's Athletic Footwear,Northeast,In-store,"117,129","2,628",114,"1,027",23.05
